ID,Player,Team,Date,Opp,Fantasy_Score,predictions_2019
81,Dudley,Brooklyn Nets,10/24/2018,CLE,20,3.902208333
82,Dudley,Brooklyn Nets,10/26/2018,NOP,15,3.41225
83,Dudley,Brooklyn Nets,10/28/2018,GSW,6,6.719125
84,Dudley,Brooklyn Nets,10/29/2018,NYK,0,7.456958333
85,Dudley,Brooklyn Nets,10/31/2018,DET,13,3.014916667
86,Dudley,Brooklyn Nets,11/2/2018,HOU,5,9.280666667
87,Dudley,Brooklyn Nets,11/4/2018,PHI,4,4.934875
88,Dudley,Brooklyn Nets,11/6/2018,PHO,7,5.156958333
89,Dudley,Brooklyn Nets,11/9/2018,DEN,6,2.96375
90,Dudley,Brooklyn Nets,11/10/2018,GSW,0,5.4925
91,Dudley,Brooklyn Nets,11/12/2018,MIN,12,4.686375
92,Dudley,Brooklyn Nets,11/14/2018,MIA,14,7.749708333
93,Dudley,Brooklyn Nets,11/16/2018,WAS,7,7.769375
94,Dudley,Brooklyn Nets,11/17/2018,LAC,7,4.387291667
95,Dudley,Brooklyn Nets,11/20/2018,MIA,0,7.431916667
96,Dudley,Brooklyn Nets,11/21/2018,DAL,2,1.169958333
97,Dudley,Brooklyn Nets,11/23/2018,MIN,4,4.665916667
98,Dudley,Brooklyn Nets,11/25/2018,PHI,5,1.456333333
99,Dudley,Brooklyn Nets,11/28/2018,UTA,0,3.699791667
100,Dudley,Brooklyn Nets,11/30/2018,MEM,0,1.455166667
101,Dudley,Brooklyn Nets,12/1/2018,WAS,4,2.769833333
102,Dudley,Brooklyn Nets,12/3/2018,CLE,3,1.582083333
103,Dudley,Brooklyn Nets,12/5/2018,OKC,4,5.107208333
104,Dudley,Brooklyn Nets,12/7/2018,TOR,5,7.818416667
105,Dudley,Brooklyn Nets,12/8/2018,NYK,4,4.038708333
106,Dudley,Brooklyn Nets,12/12/2018,PHI,7,5.143791667
107,Dudley,Brooklyn Nets,12/14/2018,WAS,11,7.777541667
108,Dudley,Brooklyn Nets,12/16/2018,ATL,22,7.580666667
109,Dudley,Brooklyn Nets,12/18/2018,LAL,15,5.1775
110,Dudley,Brooklyn Nets,12/19/2018,CHI,5,5.909625
111,Dudley,Brooklyn Nets,12/21/2018,IND,16,9.903
112,Dudley,Brooklyn Nets,12/23/2018,PHO,12,7.506666667
113,Dudley,Brooklyn Nets,12/26/2018,CHO,10,4.129583333
114,Dudley,Brooklyn Nets,12/28/2018,CHO,2,6.999791667
115,Dudley,Brooklyn Nets,12/29/2018,MIL,5,5.949291667
116,Dudley,Brooklyn Nets,1/2/2019,NOP,12,3.8445
117,Dudley,Brooklyn Nets,1/4/2019,MEM,0,7.326458333
118,Dudley,Brooklyn Nets,1/6/2019,CHI,14,1.38475
119,Dudley,Brooklyn Nets,1/7/2019,BOS,0,3.331083333
120,Dudley,Brooklyn Nets,1/9/2019,ATL,0,3.693583333
121,Dudley,Brooklyn Nets,2/21/2019,POR,0,2.983833333
122,Dudley,Brooklyn Nets,2/27/2019,WAS,7,1.170291667
123,Dudley,Brooklyn Nets,3/2/2019,MIA,0,5.893041667
124,Dudley,Brooklyn Nets,3/4/2019,DAL,0,0.386666667
125,Dudley,Brooklyn Nets,3/11/2019,DET,0,4.67475
126,Dudley,Brooklyn Nets,3/13/2019,OKC,10,1.979208333
127,Dudley,Brooklyn Nets,3/16/2019,UTA,0,4.431166667
128,Dudley,Brooklyn Nets,3/19/2019,SAC,10,3.7965
129,Dudley,Brooklyn Nets,3/22/2019,LAL,0,6.836791667
130,Dudley,Brooklyn Nets,3/25/2019,POR,19,1.341666667
131,Dudley,Brooklyn Nets,3/28/2019,PHI,7,5.742833333
132,Dudley,Brooklyn Nets,3/30/2019,BOS,10,4.950041667
133,Dudley,Brooklyn Nets,4/1/2019,MIL,2,6.023375
134,Dudley,Brooklyn Nets,4/3/2019,TOR,5,5.606416667
135,Dudley,Brooklyn Nets,4/6/2019,MIL,20,8.559166667
136,Graham,Brooklyn Nets,10/19/2018,NYK,0,8.047583333
137,Graham,Brooklyn Nets,1/4/2019,MEM,2,3.285625
138,Graham,Brooklyn Nets,1/6/2019,CHI,0,5.075791667
139,Graham,Brooklyn Nets,1/7/2019,BOS,11,3.099416667
140,Graham,Brooklyn Nets,1/9/2019,ATL,5,5.152333333
141,Graham,Brooklyn Nets,1/11/2019,TOR,7,3.478875
142,Graham,Brooklyn Nets,1/14/2019,BOS,0,2.863666667
143,Graham,Brooklyn Nets,1/16/2019,HOU,27,2.644416667
144,Graham,Brooklyn Nets,1/18/2019,ORL,8,14.87033333
145,Graham,Brooklyn Nets,1/21/2019,SAC,10,3.266375
146,Graham,Brooklyn Nets,1/23/2019,ORL,7,13.55016667
147,Graham,Brooklyn Nets,1/25/2019,NYK,7,4.350625
148,Graham,Brooklyn Nets,1/29/2019,CHI,3,5.789791667
149,Graham,Brooklyn Nets,1/31/2019,SAS,3,2.9335
150,Graham,Brooklyn Nets,2/2/2019,ORL,5,4.78225
151,Graham,Brooklyn Nets,2/4/2019,MIL,9,3.181666667
152,Graham,Brooklyn Nets,2/6/2019,DEN,24,3.975291667
153,Graham,Brooklyn Nets,2/8/2019,CHI,10,5.973583333
154,Graham,Brooklyn Nets,2/11/2019,TOR,10,3.080375
155,Graham,Brooklyn Nets,2/21/2019,POR,0,3.116833333
156,Graham,Brooklyn Nets,2/23/2019,CHO,9,3.961916667
157,Graham,Brooklyn Nets,2/25/2019,SAS,10,2.286833333
158,Graham,Brooklyn Nets,2/27/2019,WAS,6,4.413166667
159,Graham,Brooklyn Nets,3/1/2019,CHO,7,3.338791667
160,Graham,Brooklyn Nets,3/2/2019,MIA,12,2.505208333
161,Graham,Brooklyn Nets,3/16/2019,UTA,5,3.559166667
162,Graham,Brooklyn Nets,3/17/2019,LAC,2,2.964833333
163,Graham,Brooklyn Nets,3/19/2019,SAC,0,3.2575
164,Graham,Brooklyn Nets,3/28/2019,PHI,2,3.66925
165,Graham,Brooklyn Nets,3/30/2019,BOS,7,2.597166667
166,Graham,Brooklyn Nets,4/3/2019,TOR,5,2.970041667
167,Graham,Brooklyn Nets,4/6/2019,MIL,15,4.015875
168,Graham,Brooklyn Nets,4/7/2019,IND,15,4.479291667
169,Harris,Brooklyn Nets,10/19/2018,NYK,17,17.06522449
170,Harris,Brooklyn Nets,10/20/2018,IND,29,13.89951185
171,Harris,Brooklyn Nets,10/24/2018,CLE,24,15.05342672
172,Harris,Brooklyn Nets,10/26/2018,NOP,9,13.93788998
173,Harris,Brooklyn Nets,10/28/2018,GSW,11,13.60700308
174,Harris,Brooklyn Nets,10/29/2018,NYK,17,13.778253
175,Harris,Brooklyn Nets,10/31/2018,DET,31,17.1785504
176,Harris,Brooklyn Nets,11/2/2018,HOU,26,15.01848166
177,Harris,Brooklyn Nets,11/4/2018,PHI,17,14.8721302
178,Harris,Brooklyn Nets,11/6/2018,PHO,13,14.66740433
179,Harris,Brooklyn Nets,11/9/2018,DEN,15,14.35925964
180,Harris,Brooklyn Nets,11/10/2018,GSW,32,14.01381409
181,Harris,Brooklyn Nets,11/12/2018,MIN,12,16.87051456
182,Harris,Brooklyn Nets,11/14/2018,MIA,13,13.98719264
183,Harris,Brooklyn Nets,11/16/2018,WAS,11,15.77245591
184,Harris,Brooklyn Nets,11/17/2018,LAC,23,13.47467497
185,Harris,Brooklyn Nets,11/20/2018,MIA,11,14.73231615
186,Harris,Brooklyn Nets,11/21/2018,DAL,10,14.78908329
187,Harris,Brooklyn Nets,11/23/2018,MIN,26,14.98264242
188,Harris,Brooklyn Nets,11/25/2018,PHI,11,14.29547999
189,Harris,Brooklyn Nets,11/28/2018,UTA,12,14.27238549
190,Harris,Brooklyn Nets,12/5/2018,OKC,25,16.3399195
191,Harris,Brooklyn Nets,12/7/2018,TOR,8,13.1498119
192,Harris,Brooklyn Nets,12/8/2018,NYK,15,12.89283006
193,Harris,Brooklyn Nets,12/12/2018,PHI,18,15.32204631
194,Harris,Brooklyn Nets,12/14/2018,WAS,25,13.74531816
195,Harris,Brooklyn Nets,12/16/2018,ATL,22,14.28061526
196,Harris,Brooklyn Nets,12/18/2018,LAL,25,13.72359393
197,Harris,Brooklyn Nets,12/19/2018,CHI,17,16.76434789
198,Harris,Brooklyn Nets,12/21/2018,IND,19,13.34064711
199,Harris,Brooklyn Nets,12/23/2018,PHO,19,16.79918149
200,Harris,Brooklyn Nets,12/26/2018,CHO,37,15.27902738
