Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
52,52,03-02-18,33-351,WAS,@,ORL,W (+17),1,24:31:00,5,7,0.714,0,0,0,0,0,0,5,6,11,1,0,2,3,3,10,10.3,23
53,53,05-02-18,33-353,WAS,@,IND,W (+9),1,20:57,5,8,0.625,0,0,0,1,1,1,3,6,9,1,0,0,1,3,11,9.8,2
54,54,06-02-18,33-354,WAS,@,PHI,L (-13),1,17:23,2,4,0.5,0,0,0,0,0,0,1,1,2,4,1,1,0,1,4,7.1,-14
55,55,08-02-18,33-356,WAS,0,BOS,L (-6),1,30:33:00,4,7,0.571,0,0,0,2,4,0.5,4,6,10,4,1,1,3,2,10,11.2,-6
56,56,10-02-18,33-358,WAS,@,CHI,W (+11),1,34:49:00,3,8,0.375,0,0,0,0,0,0,2,7,9,5,3,1,1,2,6,10.5,17
57,57,14-02-18,33-362,WAS,@,NYK,W (+5),1,22:16,3,7,0.429,0,0,0,0,0,0,1,7,8,3,1,0,0,2,6,7.4,5
58,58,22-02-18,34-005,WAS,@,CLE,W (+7),1,17:36,3,6,0.5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,3.9,-13
59,59,23-02-18,34-006,WAS,0,CHO,L (-17),1,26:38:00,3,5,0.6,0,0,0,0,0,0,2,6,8,3,0,0,1,4,6,6.4,-6
60,60,25-02-18,34-008,WAS,0,PHI,W (+15),1,27:32:00,6,11,0.545,0,0,0,1,1,1,4,6,10,2,0,1,0,2,13,13.6,3
61,61,27-02-18,34-010,WAS,@,MIL,W (+3),1,26:24:00,2,6,0.333,0,0,0,2,2,1,0,7,7,2,1,1,0,2,6,7,5
62,62,28-02-18,34-011,WAS,0,GSW,L (-8),1,13:33,1,4,0.25,0,0,0,0,0,0,2,1,3,3,0,0,2,0,2,1.4,-19
63,63,02-03-18,34-013,WAS,0,TOR,L (-7),1,24:29:00,3,7,0.429,0,0,0,2,3,0.667,0,8,8,1,0,2,0,1,8,8,11
64,64,04-03-18,34-015,WAS,0,IND,L (-3),1,22:06,4,10,0.4,0,0,0,2,2,1,4,3,7,1,0,0,1,1,10,7.6,-8
65,65,06-03-18,34-017,WAS,0,MIA,W (+4),1,22:47,2,8,0.25,0,0,0,4,4,1,2,4,6,1,0,0,2,2,8,3.7,8
66,66,09-03-18,34-020,WAS,@,NOP,W (+19),1,16:23,2,4,0.5,0,0,0,2,2,1,1,7,8,2,0,2,2,2,6,6.8,6
67,67,10-03-18,34-021,WAS,@,MIA,L (-27),1,17:11,1,6,0.167,0,0,0,1,2,0.5,2,1,3,1,0,0,2,1,3,-1.2,-19
68,68,13-03-18,34-024,WAS,0,MIN,L (-5),1,24:23:00,2,3,0.667,0,0,0,2,2,1,2,0,2,1,0,2,0,3,6,7,5
69,69,14-03-18,34-025,WAS,@,BOS,W (+1),1,24:52:00,1,4,0.25,0,0,0,0,0,0,4,3,7,2,0,2,2,4,2,2.5,-2
70,70,17-03-18,34-028,WAS,0,IND,W (+7),1,24:30:00,6,8,0.75,0,0,0,6,6,1,1,7,8,4,1,1,1,1,18,20.7,22
71,71,21-03-18,34-032,WAS,@,SAS,L (-8),1,19:14,2,3,0.667,0,0,0,3,4,0.75,0,5,5,1,0,0,3,3,7,3.3,-12
72,72,23-03-18,34-034,WAS,0,DEN,L (-8),1,27:23:00,4,4,1,0,0,0,3,4,0.75,2,5,7,3,0,0,1,2,11,12.6,-1
73,73,25-03-18,34-036,WAS,0,NYK,L (-4),1,15:09,2,9,0.222,0,0,0,0,1,0,4,3,7,3,0,2,1,3,4,3.1,-2
74,74,27-03-18,34-038,WAS,0,SAS,W (+10),1,23:37,5,9,0.556,0,0,0,2,3,0.667,3,5,8,1,0,1,0,1,12,11.9,13
75,75,29-03-18,34-040,WAS,@,DET,L (-11),1,27:47:00,5,7,0.714,0,0,0,0,0,0,2,10,12,3,1,0,2,3,10,11.4,-11
76,76,31-03-18,34-042,WAS,0,CHO,W (+14),1,26:31:00,4,8,0.5,0,0,0,1,1,1,3,5,8,2,1,0,1,5,9,8,13
77,77,01-04-18,34-043,WAS,@,CHI,L (-19),1,24:08:00,4,7,0.571,0,0,0,2,2,1,1,6,7,3,0,2,1,1,10,11.3,-7
78,78,03-04-18,34-045,WAS,@,HOU,L (-16),1,14:25,2,2,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,4,4.1,-5
79,79,05-04-18,34-047,WAS,@,CLE,L (-4),1,24:45:00,5,9,0.556,0,0,0,0,0,0,3,4,7,1,0,1,1,3,10,8.2,7
80,80,06-04-18,34-048,WAS,0,ATL,L (-6),1,39:16:00,3,8,0.375,0,0,0,0,0,0,3,8,11,4,0,1,2,4,6,6,1
81,81,10-04-18,34-052,WAS,0,BOS,W (+12),1,21:18,2,6,0.333,0,0,0,0,0,0,0,5,5,0,1,0,0,1,4,2.7,5
82,82,11-04-18,34-053,WAS,@,ORL,L (-9),1,22:40,3,6,0.5,0,0,0,3,4,0.75,5,5,10,1,0,1,2,2,9,9.2,-10
