Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
57,57,14-02-18,32-285,HOU,0,SAC,W (+9),1,31:45:00,4,8,0.5,2,6,0.333,0,0,0,2,5,7,1,2,1,0,1,10,11.9,9
58,58,23-02-18,32-294,HOU,0,MIN,W (+18),1,28:22:00,4,7,0.571,3,5,0.6,0,0,0,2,3,5,1,0,0,1,2,11,8.9,5
59,59,25-02-18,32-296,HOU,@,DEN,W (+5),1,24:00:00,3,8,0.375,3,5,0.6,0,0,0,2,3,5,2,1,0,1,2,9,7.5,-4
60,60,26-02-18,32-297,HOU,@,UTA,W (+11),1,25:13:00,0,7,0,0,4,0,2,2,1,0,3,3,0,2,0,1,3,2,-2.2,4
61,61,28-02-18,32-299,HOU,@,LAC,W (+13),1,24:21:00,1,5,0.2,0,3,0,1,2,0.5,1,5,6,2,1,1,1,4,3,2.2,5
62,62,03-03-18,32-302,HOU,0,BOS,W (+3),1,29:30:00,3,6,0.5,3,6,0.5,0,0,0,0,4,4,1,1,1,2,3,9,6.4,9
63,63,06-03-18,32-305,HOU,@,OKC,W (+10),1,26:23:00,4,8,0.5,2,5,0.4,0,2,0,4,2,6,3,0,0,2,0,10,8.7,2
64,64,07-03-18,32-306,HOU,@,MIL,W (+11),1,33:57:00,3,3,1,3,3,1,0,0,0,1,5,6,1,0,0,1,2,9,9.2,21
65,65,09-03-18,32-308,HOU,@,TOR,L (-3),1,36:53:00,1,3,0.333,0,2,0,1,2,0.5,0,6,6,2,2,0,0,2,3,5.3,5
66,66,11-03-18,32-310,HOU,@,DAL,W (+23),1,20:01,3,5,0.6,2,3,0.667,2,2,1,1,3,4,1,1,0,1,2,10,9.2,17
67,67,12-03-18,32-311,HOU,0,SAS,W (+16),1,20:35,2,4,0.5,1,3,0.333,0,0,0,0,7,7,0,3,0,0,2,5,7.3,23
68,68,15-03-18,32-314,HOU,0,LAC,W (+5),1,29:27:00,1,7,0.143,1,5,0.2,0,0,0,4,4,8,2,1,0,1,2,3,3.1,-11
69,69,17-03-18,32-316,HOU,@,NOP,W (+6),1,31:12:00,3,8,0.375,3,8,0.375,0,0,0,0,2,2,1,3,1,1,5,9,6.6,14
70,70,18-03-18,32-317,HOU,@,MIN,W (+9),1,23:38,4,9,0.444,3,5,0.6,1,4,0.25,2,2,4,0,0,2,3,6,12,4.1,-2
71,71,20-03-18,32-319,HOU,@,POR,W (+4),1,29:15:00,1,2,0.5,1,2,0.5,0,0,0,1,2,3,0,0,2,0,1,3,4.3,8
72,72,22-03-18,32-321,HOU,0,DET,W (+4),1,36:34:00,4,11,0.364,2,7,0.286,0,0,0,4,4,8,1,0,0,2,0,10,6.6,-6
73,73,24-03-18,32-323,HOU,0,NOP,W (+23),1,20:16,1,5,0.2,1,3,0.333,0,0,0,1,3,4,1,1,0,1,4,3,0.6,15
74,74,25-03-18,32-324,HOU,0,ATL,W (+19),1,30:17:00,4,9,0.444,4,9,0.444,0,0,0,0,1,1,0,0,0,1,1,12,6.2,14
75,75,27-03-18,32-326,HOU,0,CHI,W (+32),1,26:38:00,4,9,0.444,1,5,0.2,0,0,0,1,7,8,2,2,2,1,0,9,10.9,25
76,76,30-03-18,32-329,HOU,0,PHO,W (+1),1,33:45:00,6,9,0.667,5,7,0.714,1,2,0.5,0,2,2,0,2,0,0,3,18,15.1,2
77,77,01-04-18,32-331,HOU,@,SAS,L (-17),1,27:51:00,1,7,0.143,1,6,0.167,0,0,0,1,2,3,1,0,0,0,0,3,0.5,-10
78,78,03-04-18,32-333,HOU,0,WAS,W (+16),1,29:25:00,2,5,0.4,1,3,0.333,0,0,0,2,3,5,4,1,0,1,2,5,6.6,20
79,79,05-04-18,32-335,HOU,0,POR,W (+2),1,31:30:00,1,5,0.2,1,4,0.25,0,0,0,1,4,5,0,0,2,1,2,3,1.4,5
80,80,07-04-18,32-337,HOU,0,OKC,L (-6),1,27:42:00,6,8,0.75,4,6,0.667,0,0,0,1,9,10,3,0,0,2,5,16,14.3,3
81,81,10-04-18,32-340,HOU,@,LAL,W (+6),1,22:29,2,6,0.333,2,6,0.333,0,0,0,0,8,8,0,0,1,1,2,6,3.9,-9
82,82,11-04-18,32-341,HOU,@,SAC,L (-13),1,29:09:00,1,7,0.143,1,7,0.143,0,0,0,3,7,10,1,0,0,2,1,3,1,-8
