Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,45,06-03-18,32-304,HOU,@,OKC,W (+10),1,32:48:00,7,14,0.5,5,6,0.833,6,6,1,0,4,4,5,3,0,2,2,25,22.9,11
64,46,07-03-18,32-305,HOU,@,MIL,W (+11),1,33:41:00,5,12,0.417,1,6,0.167,5,5,1,0,5,5,11,0,0,2,2,16,16,11
65,47,09-03-18,32-307,HOU,@,TOR,L (-3),1,33:17:00,5,13,0.385,0,3,0,4,4,1,0,3,3,3,3,0,2,4,14,9.3,-6
66,48,11-03-18,32-309,HOU,@,DAL,W (+23),1,30:13:00,9,18,0.5,4,7,0.571,2,2,1,0,5,5,12,0,0,2,4,24,21.3,31
67,49,12-03-18,32-310,HOU,0,SAS,W (+16),1,22:49,8,11,0.727,2,4,0.5,0,0,0,1,2,3,9,1,0,1,1,18,20.7,19
68,50,15-03-18,32-313,HOU,0,LAC,W (+5),1,31:45:00,3,13,0.231,0,6,0,5,6,0.833,1,3,4,3,0,0,3,2,11,2.6,-10
69,51,17-03-18,32-315,HOU,@,NOP,W (+6),1,33:15:00,8,19,0.421,3,6,0.5,2,2,1,1,8,9,5,2,1,2,2,21,17.4,7
70,52,18-03-18,32-316,HOU,@,MIN,W (+9),1,34:36:00,4,8,0.5,1,3,0.333,9,10,0.9,1,7,8,9,1,0,3,2,18,19.9,3
71,53,20-03-18,32-318,HOU,@,POR,W (+4),1,31:49:00,6,16,0.375,5,10,0.5,5,6,0.833,3,5,8,6,0,0,0,2,22,19.8,8
72,0,22-03-18,32-320,HOU,0,DET,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,0,24-03-18,32-322,HOU,0,NOP,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,0,25-03-18,32-323,HOU,0,ATL,W (+19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,54,27-03-18,32-325,HOU,0,CHI,W (+32),1,27:44:00,4,12,0.333,3,9,0.333,2,2,1,0,4,4,10,4,0,3,1,13,15,20
76,0,30-03-18,32-328,HOU,0,PHO,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
77,0,01-04-18,32-330,HOU,@,SAS,L (-17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
78,55,03-04-18,32-332,HOU,0,WAS,W (+16),1,32:39:00,3,11,0.273,2,9,0.222,0,0,0,0,2,2,6,0,0,1,2,8,4.5,11
79,56,05-04-18,32-334,HOU,0,POR,W (+2),1,31:07:00,11,19,0.579,3,8,0.375,2,2,1,0,4,4,5,0,0,2,2,27,20,1
80,57,07-04-18,32-336,HOU,0,OKC,L (-6),1,35:29:00,6,15,0.4,2,8,0.25,3,3,1,1,3,4,9,1,0,3,4,17,13.2,3
81,58,10-04-18,32-339,HOU,@,LAL,W (+6),1,27:14:00,9,14,0.643,4,7,0.571,0,0,0,0,3,3,6,1,0,0,3,22,20.7,2
82,0,11-04-18,32-340,HOU,@,SAC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
