
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,24,2018-01-04,19-232,OKC,@,LAC,W (+10),1,31:20,4,12,.333,3,10,.300,0,0,,0,1,1,2,0,0,0,2,11,5.1,+9
40,25,2018-01-07,19-235,OKC,@,PHO,L (-14),1,18:23,1,5,.200,0,3,.000,0,0,,0,1,1,1,3,0,0,6,2,0.5,-7
41,26,2018-01-09,19-237,OKC,,POR,L (-11),1,30:22,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,3,0,-1.6,-10
42,27,2018-01-10,19-238,OKC,@,MIN,L (-16),1,23:28,1,7,.143,1,6,.167,0,0,,1,0,1,1,1,0,0,3,3,-0.3,-17
43,28,2018-01-13,19-241,OKC,@,CHO,W (+10),1,17:30,1,3,.333,1,3,.333,0,0,,1,0,1,1,0,1,1,3,3,1.2,+9
44,29,2018-01-15,19-243,OKC,,SAC,W (+7),1,18:17,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,1,0,1,2,2.0,+4
45,30,2018-01-17,19-245,OKC,,LAL,W (+24),0,27:13,1,5,.200,1,4,.250,0,0,,2,1,3,1,2,0,1,2,3,2.5,+6
46,31,2018-01-20,19-248,OKC,@,CLE,W (+24),0,11:09,4,5,.800,1,2,.500,0,0,,0,0,0,0,2,0,1,2,9,7.3,-8
47,32,2018-01-23,19-251,OKC,,BRK,W (+1),0,14:13,1,5,.200,1,5,.200,2,2,1.000,0,0,0,1,0,2,0,1,5,3.6,+1
48,33,2018-01-25,19-253,OKC,,WAS,W (+9),0,24:31,4,8,.500,3,6,.500,0,0,,2,0,2,0,0,0,0,1,11,8.0,+15
49,34,2018-01-27,19-255,OKC,@,DET,W (+13),0,23:22,2,6,.333,2,5,.400,0,0,,2,1,3,0,0,0,0,3,6,3.1,-11
50,35,2018-01-28,19-256,OKC,,PHI,W (+10),1,23:01,0,1,.000,0,1,.000,0,0,,0,5,5,0,0,0,0,4,0,-0.8,-10
51,36,2018-01-30,19-258,OKC,@,WAS,L (-6),1,18:41,0,1,.000,0,1,.000,0,0,,2,2,4,1,0,0,0,4,0,0.4,-11
52,37,2018-02-01,19-260,OKC,@,DEN,L (-3),1,4:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
53,38,2018-02-02,19-261,OKC,,NOP,L (-14),1,10:41,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,-7
54,39,2018-02-04,19-263,OKC,,LAL,L (-4),1,11:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,2,0,-1.5,-10
55,40,2018-02-06,19-265,OKC,@,GSW,W (+20),0,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
56,41,2018-02-08,19-267,OKC,@,LAL,L (-25),0,12:53,0,5,.000,0,4,.000,0,0,,0,0,0,1,0,0,0,0,0,-2.8,-8
57,42,2018-02-11,19-270,OKC,,MEM,W (+18),0,15:16,2,4,.500,1,3,.333,0,0,,1,0,1,0,0,0,0,2,5,2.9,+4
